;País;RMSE;MAE;MAPE
150;Saudi Arabia;0,5224435465713891;0,5046186357930054;16,76065877308456
151;Senegal;3,0033129120701063;2,1016387306362274;26,829194100131787
152;Serbia;0,6501649547496996;0,63029370735543;16,275441737967714
153;Seychelles;0,16915563670070186;0,13060643852006554;3,4597114964458533
154;Sierra Leone;2,6725547897748174;2,6397248191728506;55,71526259773518
155;Singapore;1,3683590391483966;1,3669865762074513;56,946450131770085
156;Slovak Republic;0,6905252844306878;0,6717953126298799;24,372560781676206
157;Slovenia;0,6502831817100359;0,44612472354085464;18,90983676530435
158;Solomon Islands;0,7325593234803355;0,6545697103239306;21,82168088237891
159;Somalia;0,8456585966228898;0,8272877941700159;20,514458947795756
160;South Africa;0,5682754721673056;0,5319572976904046;36,616874911876835
161;South Sudan, Republic of;3,1855545240967373;3,100937046210433;69,02423337136298
162;Spain;0,3482290393876955;0,3073526481055439;18,04809800855284
163;Sri Lanka;5,352422407074668;5,315815306724875;207,5877049799765
164;Sudan;0,8072037405880497;0,47442288934214105;17,124963943316644
165;Suriname;2,096893939890539;2,0918897280054383;69,72965760018128
166;Sweden;0,5000530222901943;0,2752974163911078;24,101115021284322
167;Switzerland;0,38323040616697657;0,24741125465788144;20,476695869493003
168;Syria;4,2739281188979936e-05;4,22020491461339e-05;0,001260690510711801
169;São Tomé and Príncipe;1,318637913389951;1,2227807926529668;35,019818530307525
170;Taiwan Province of China;0,8701739202458822;0,8602794979005584;35,72382943065273
171;Tajikistan;0,46928320280323116;0,4527209800201069;11,062436859018804
172;Tanzania;1,1152600797631136;1,089084087879743;16,165557610978844
173;Thailand;1,2009241342238246;1,1160588746700408;35,66616194074833
174;Timor-Leste;0,14120130208931858;0,13177974749921698;4,351450723943782
175;Togo;2,717427549146342;2,7127601399060284;49,32291163465507
176;Tonga;0,7627088344393204;0,7055674934056538;31,9630061141554
177;Trinidad and Tobago;0,7837613188717879;0,6684978310299504;39,20225229603715
178;Tunisia;0,18514115292596497;0,14900344711489993;6,67157676982569
179;Turkmenistan;0,3974942086913243;0,35405012547979203;15,737077303192255
180;Tuvalu;0,42900186856524924;0,4000583939814158;16,601997828138522
181;Türkiye, Republic of;1,057500105723155;0,9415959025695866;31,344910666948074
182;Uganda;1,4647960120064079;1,3193334243310904;19,132943634207038
183;Ukraine;5,765817625282248;5,654283508629971;168,9088968054778
184;United Arab Emirates;0,6848592625699644;0,6653933511656518;15,941160366408297
185;United Kingdom;0,8164402250184951;0,6767976625593434;51,93145383516825
186;United States;0,7320344429009845;0,6485887602393026;43,19277970712096
187;Uruguay;0,45230538007643034;0,31592066913927874;11,644407644150775
188;Uzbekistan;0,08205978448030475;0,07841740077153289;1,4257709231187798
189;Vanuatu;0,699275125277175;0,5834946292091653;16,838470665852565
190;Venezuela;3,4237802110646656;3,373778521022731;96,92513880688024
191;Vietnam;1,5166421430721648;1,1616274788274672;17,030643627228123
192;West Bank and Gaza;1,855918580448006;1,8412860369858843;85,47964301096596
193;Yemen;5,40881030175772;5,155011992443169;97,03243972950752
194;Zambia;1,5825281892952856;1,5392575783984075;32,32463928824693
195;Zimbabwe;1,558576138116132;1,4655796981317126;53,51046047995507
